FAMILLE,TICKET_ID,MOIS_VENTE,PRIX_NET,UNIVERS,MAILLE,LIBELLE,CLI_ID
MAQUILLAGE,34773724,7,6.95,MAQ_YEUX Fard,MAQ_YEUX_MASCA_EYEL_FARD,FAP MONO 2013 CN3 ORANGE FLASH MAT  2G,21046542
HYGIENE,34773724,7,4.9,HYG_DOUCHE PLAISIRNATURE,HYG_PLAISIRNAT_BAIN_SAVON,BD FRAISE PN2 FL400ML,21046542
SOINS DU VISAGE,34773724,7,1.25,VIS_SOIN LEVRES,VIS_JEUNE_ET_LEVRE,BAUME LEVRES HYDRA 4G,21046542
SOINS DU VISAGE,34773724,7,1.25,VIS_SOIN LEVRES,VIS_JEUNE_ET_LEVRE,BAUME LEVRES REPAIR 4G,21046542
MAQUILLAGE,34773724,7,6.95,MAQ_YEUX Fard,MAQ_YEUX_MASCA_EYEL_FARD,"FAP MONO 2013 CN3   2,5G   ROSE NUDE",21046542
CAPILLAIRES,34773724,7,2.95,CAP_AP SHAMP,CAPILLAIRE_AUTRE,LISSAGE AP SHAMPOING LISSANT 150ML SVC,21046542
HYGIENE,33153030,1,6.2,HYG_DOUCHE PLAISIRNATURE,HYG_PLAISIRNAT_BAIN_SAVON,GD VANILLE COLLECTOR 750ML 2013,21239163
SOINS DU CORPS,33153030,1,1.95,CORPS_SOIN DES MAINS,CORPS_HYDRA_NOURRI_ET_SOINS,SVC CREME QUOTIDIENNE T75ml,21239163
HYGIENE,33153030,1,1.5,HYG_DOUCHE JARDINMONDE,HYG_JDM,GD FL200ML JDM PAMPLEMOUSSE,21239163
HYGIENE,33153030,1,1.5,HYG_DOUCHE JARDINMONDE,HYG_JDM,GD JDM4 ORANGE FL 200ML,21239163
HYGIENE,33153030,1,1.5,HYG_DOUCHE JARDINMONDE,HYG_JDM,CD JDM4 COTON  FL 200ML,21239163
SOINS DU VISAGE,33060931,1,4.45,VIS_DEMAQ BIO,VIS_BIO,BIO LAIT ONTUEUX DEMAQ 200ML,21351166
SOINS DU VISAGE,33060931,1,2.95,VIS_DEMAQ PUR,VIS_PUR,DEMAQ+TONIQUE PC 200ML,21351166
PARFUMAGE,33913524,4,12.95,PARF_EAUX PARFUMS,PARF_PARFUM,EDT UN MATIN AU JARDIN 100ML LILAS,21497331
MAQUILLAGE,33913524,4,5.95,MAQ_LEV RAL Lum4,MAQ_LEV_BASPRIX,"RAL CORAIL 22 LUMINELLE4 3,5G",21497331
PARFUMAGE,33913524,4,12.5,PARF_EAUX HOMMES,PARF_HOMME,EDT VAPO 75ML HOGGAR,21497331
SOINS DU CORPS,33913524,4,1.95,CORPS_SOIN DES MAINS,CORPS_HYDRA_NOURRI_ET_SOINS,SVC CREME QUOTIDIENNE T75ml,21497331
SOINS DU VISAGE,33423427,2,1.95,VIS_SOIN LEVRES,VIS_JEUNE_ET_LEVRE,BAUME LEVRES NOIX DE COCO 4G,21504227
MAQUILLAGE,34029142,5,11.95,MAQ_LEV RAL GrdRouge,MAQ_LEV_RAL_HMG,"RAL GRAND RGE ROS/EQUIV73 CN3 2013 3,7G",21514622
SOINS DU CORPS,34029142,5,5.95,CORPS_HYDRA NOURRISANT,CORPS_HYDRA_NOURRI_ET_SOINS,SVC REP LAIT REP T150ML,21514622
HYGIENE,33062659,1,4.95,HYG_DEO PARFUMS,HYG_PARFUMEE,DEO AERO SENTEUR NATURE 75ML,69813934
SOINS DU CORPS,33062659,1,4.45,CORPS_LAIT HUILE PARFUMS,CORPS_HYDR_LAIT_HUILE,UMAJ LAIT MUGUET FL 200ML,69813934
HYGIENE,33062659,1,1.5,HYG_DOUCHE JARDINMONDE,HYG_JDM,GD FLEUR DE TIARE JDM3 200ML,69813934
HYGIENE,33062659,1,2.45,HYG_DOUCHE PARFUMS,HYG_PARFUMEE,UMAJ GD MUGUET FL 200ML,69813934
HYGIENE,33062659,1,1.5,HYG_DOUCHE JARDINMONDE,HYG_JDM,GD JDM4 ORANGE FL 200ML,69813934
PARFUMAGE,33456754,2,6.45,PARF_EAUX DE COLOGNE,PARF_PARFUM,EDC FRAICHEUR VERVEINE 125ML,69813934
HYGIENE,33526997,3,4.95,HYG_DEO PARFUMS,HYG_PARFUMEE,DEO AERO SENTEUR NATURE 75ML,69813934
PARFUMAGE,33526997,3,6.45,PARF_EAUX DE COLOGNE,PARF_PARFUM,FRAICHEUR CHEVREF EDC 125ML,69813934
MAQUILLAGE,33609672,3,3.95,MAQ_YEUX Mascara Basic,MAQ_YEUX_CLASSIQUE,"MASCARA BEAUTE NOIR 81 LUM4 6,5ML",69813934
HYGIENE,33609672,3,3.0,HYG_DOUCHE JARDINMONDE,HYG_JDM,GD FL200ML JDM PAMPLEMOUSSE,69813934
HYGIENE,33609672,3,3.0,HYG_DOUCHE JARDINMONDE,HYG_JDM,GD JDM4 ORANGE FL 200ML,69813934
SOINS DU VISAGE,33923246,4,3.45,VIS_DEMAQ Jeunes Specifique,VIS_JEUNE_ET_LEVRE,GEL NETT HYDRA VEG T125ML,69813934
SOINS DU VISAGE,34205098,5,1.25,VIS_SOIN LEVRES,VIS_JEUNE_ET_LEVRE,BAUME LEVR SENT FRAMBOISE 4G,69813934
SOINS DU VISAGE,34205098,5,2.5,VIS_SOIN LEVRES,VIS_JEUNE_ET_LEVRE,BAUME LEVRES VANILLE 4G,69813934
HYGIENE,34358800,6,3.0,HYG_DOUCHE JARDINMONDE,HYG_JDM,GD JDM4 PAMPLEMOUSSE FL 200ML,69813934
HYGIENE,34358800,6,3.0,HYG_DOUCHE JARDINMONDE,HYG_JDM,GD JDM4 ORANGE FL 200ML,69813934
PARFUMAGE,34391033,6,6.45,PARF_EAUX DE COLOGNE,PARF_PARFUM,EDC FRAICHEUR VERVEINE 125ML,69813934
HYGIENE,34417657,6,1.48,HYG_DOUCHE JARDINMONDE,HYG_JDM,GD JDM4 LAVANDIN DE PROVENCE 200ML,69813934
HYGIENE,34417657,6,1.47,HYG_DOUCHE JARDINMONDE,HYG_JDM,CD JDM4 COTON  FL 200ML,69813934
HYGIENE,34437298,6,1.47,HYG_DOUCHE JARDINMONDE,HYG_JDM,GD JDM4 GRENADE FL200ML,69813934
HYGIENE,34437298,6,1.48,HYG_DOUCHE JARDINMONDE,HYG_JDM,CD JDM4 COTON  FL 200ML,69813934
PARFUMAGE,34551371,6,5.0,PARF_EAUX DE COLOGNE,PARF_PARFUM,FRAICHEUR CHEVREF EDC 125ML,69813934
HYGIENE,34828511,7,4.95,HYG_DEO PARFUMS,HYG_PARFUMEE,DEO AERO SENTEUR NATURE 75ML,69813934
HYGIENE,34828511,7,1.5,HYG_DOUCHE JARDINMONDE,HYG_JDM,CD JDM4 CAFE FL 200ML,69813934
HYGIENE,34828511,7,1.5,HYG_DOUCHE JARDINMONDE,HYG_JDM,GD JDM4 LAVANDIN DE PROVENCE 200ML,69813934
HYGIENE,34828511,7,1.5,HYG_DOUCHE JARDINMONDE,HYG_JDM,GD JDM4 GRENADE FL200ML,69813934
SOINS DU CORPS,35040605,8,2.95,CORPS_SOIN PIEDS ET JAMBES,CORPS_HYDRA_NOURRI_ET_SOINS,SVC pieds gommage T50ml,69813934
SOINS DU VISAGE,35040605,8,3.45,VIS_DEMAQ Jeunes Specifique,VIS_JEUNE_ET_LEVRE,GEL NETTOYANT PURIFIANT 125 ML,69813934
HYGIENE,35040605,8,1.48,HYG_DOUCHE JARDINMONDE,HYG_JDM,GD JDM4 GRENADE FL200ML,69813934
HYGIENE,35040605,8,1.47,HYG_DOUCHE JARDINMONDE,HYG_JDM,GD JDM4 TIARE FL 200ML,69813934
HYGIENE,35464379,9,1.95,HYG_DOUCHE JARDINMONDE,HYG_JDM,CD JDM4 CAFE FL 200ML,69813934
PARFUMAGE,35775482,10,18.0,PARF_PARF ET EAU DE PARF,PARF_PARFUM,EDP QQUES NOTES D'AMOUR  30ML,69813934
SOINS DU CORPS,36204706,12,1.95,CORPS_SOIN DES MAINS,CORPS_HYDRA_NOURRI_ET_SOINS,CREME MAINS FRUITS NOIRS T75 ML,69813934
SOINS DU CORPS,36204706,12,1.9,CORPS_SOIN DES MAINS,CORPS_HYDRA_NOURRI_ET_SOINS,CREME MAINS T75 ml FRUITS ROUGES,69813934
SOINS DU CORPS,36204706,12,1.9,CORPS_SOIN DES MAINS,CORPS_HYDRA_NOURRI_ET_SOINS,CREME MAINS CACAO ORANGE T75 Ml,69813934
MAQUILLAGE,36002906,11,6.95,MAQ_YEUX Fard,MAQ_YEUX_MASCA_EYEL_FARD,"FAP MONO 2013 CN3 2,5G BRUN CACAO",71891681
MAQUILLAGE,36002906,11,8.95,MAQ_YEUX Mascara Specifique,MAQ_YEUX_MASCA_EYEL_FARD,MASCARA DEPLOYE NOIR 01 CN3 9ML,71891681
MAQUILLAGE,36002906,11,3.95,MAQ_YEUX Crayons,MAQ_YEUX_CLASSIQUE,CRAYON REGARD BRUN CN3 1.3G,71891681
HYGIENE,36262191,12,3.65,HYG_DOUCHE PLAISIRNATURE,HYG_PLAISIRNAT_BAIN_SAVON,GD GOMMANT PECHE T200 ML,71891681
HYGIENE,36262191,12,1.5,HYG_DOUCHE PLAISIRNATURE,HYG_PLAISIRNAT_BAIN_SAVON,CD PN POIRE CARAMEL FL50Ml,71891681
HYGIENE,36262191,12,1.45,HYG_DOUCHE PLAISIRNATURE,HYG_PLAISIRNAT_BAIN_SAVON,BD PN VANILLE FL50ML,71891681
HYGIENE,36262191,12,1.45,HYG_DOUCHE PLAISIRNATURE,HYG_PLAISIRNAT_BAIN_SAVON,BD OLIVE PN2 FL50ML,71891681
HYGIENE,36262191,12,0.8,HYG_BAIN SEL HUILE PERLE,HYG_PLAISIRNAT_BAIN_SAVON,CUBE DE BAIN PECHE PN2 20G,71891681
SOINS DU CORPS,36262191,12,1.3,CORPS_LAIT HUILE PLAISIRNATURE,CORPS_HYDR_LAIT_HUILE,LAIT PECHE PN2 FL50ML,71891681
HYGIENE,36262191,12,4.3,HYG_DOUCHE PLAISIRNATURE,HYG_PLAISIRNAT_BAIN_SAVON,BD PECHE PN2 FL400ML,71891681
HYGIENE,36262191,12,1.45,HYG_DOUCHE PLAISIRNATURE,HYG_PLAISIRNAT_BAIN_SAVON,BD PECHE PN2 50ML,71891681
HYGIENE,36262191,12,1.45,HYG_DOUCHE PLAISIRNATURE,HYG_PLAISIRNAT_BAIN_SAVON,BD MURE PN2 FL50ML,71891681
HYGIENE,36262191,12,1.45,HYG_DOUCHE PLAISIRNATURE,HYG_PLAISIRNAT_BAIN_SAVON,BD FRAISE PN2 FL50ML,71891681
PARFUMAGE,36262191,12,3.3,PARF_EAUX PLAISIR NATURE,PARF_EDT,EDT PN2 PECHE 20ML,71891681
HYGIENE,36262191,12,2.3,HYG_SAVONS,HYG_PLAISIRNAT_BAIN_SAVON,PETIT SAVON PECHE PN 50G VPM,71891681
HYGIENE,34336345,6,7.8,HYG_DOUCHE MONOI,HYG_MONOI_ET_EDIT_SPEC,MDT SD DES LAGONS 150 ML,85057203
MAQUILLAGE,34336345,6,5.95,MAQ_ONG Vernis CN,MAQ_ONGLES,"VAO BRIL BEIG/NACR52 AX/SO CN3 5,5ML",85057203
HYGIENE,35246975,8,9.75,HYG_DOUCHE MONOI,HYG_MONOI_ET_EDIT_SPEC,MDT SD DES LAGONS 150 ML,85057203
MAQUILLAGE,33202807,1,6.45,MAQ_YEUX Eyeliner,MAQ_YEUX_MASCA_EYEL_FARD,OMBRE+LINER LAPIS/LAZULI CN3 4ML,85841284
MAQUILLAGE,33202807,1,7.45,MAQ_YEUX Mascara Specifique,MAQ_YEUX_MASCA_EYEL_FARD,MASC VOLUME BRUN CN3 2009 5ML,85841284
MAQUILLAGE,33202807,1,5.95,MAQ_YEUX Eyeliner,MAQ_YEUX_MASCA_EYEL_FARD,EYE LINER NOIR CN3 2.5ML,85841284
SOINS DU VISAGE,33202807,1,1.25,VIS_SOIN LEVRES,VIS_JEUNE_ET_LEVRE,BAUME LEVRES HYDRA 4G,85841284
SOINS DU CORPS,33202807,1,3.5,CORPS_SOIN DES MAINS,CORPS_HYDRA_NOURRI_ET_SOINS,SVC CREME NOURRISSANTE T50ml,85841284
SOINS DU VISAGE,33202807,1,5.0,VIS_SOIN HOMMES,VIS_HOMMES,GEL ANTI BRILLANCE GINS T50ml,85841284
HYGIENE,33365681,2,5.9,HYG_DEO CULTURE BIO,HYG_CULTUREBIO,BIO DEO FRAICHEUR BILLE FL50ML,85841284
HYGIENE,33365681,2,3.9,HYG_DOUCHE CULTUREBIO,HYG_CULTUREBIO,BIO MIEL DOUCHE 200ML,85841284
SOINS DU VISAGE,34104461,5,11.9,VIS_SOIN HOMMES,VIS_HOMMES,SOIN 3en1 SENSITIVE YRmen 50ml,85841284
MAQUILLAGE,34104461,5,2.95,MAQ_ONG AUTRES,MAQ_ONGLES,DISSOLVANT FLACON MANUC CN3 100ML,85841284
SOINS DU CORPS,34104461,5,2.0,CORPS_SOIN DES MAINS,CORPS_HYDRA_NOURRI_ET_SOINS,SVC CREME QUOTIDIENNE T75ml,85841284
HYGIENE,34104461,5,3.0,HYG_DOUCHE JARDINMONDE,HYG_JDM,GD JDM4 TIARE FL 200ML,85841284
SOLAIRES,34488567,6,3.95,SOL_APRES SOLEIL,SOLAIRE,LAIT 3EN1 PROTECTYL AP SOL FL150,85841284
SOINS DU VISAGE,34488567,6,9.95,VIS_SOIN HOMMES,VIS_HOMMES,GEL DEFATIG ENERGIE FL 50ML,85841284
SOINS DU VISAGE,34488567,6,1.25,VIS_SOIN LEVRES,VIS_JEUNE_ET_LEVRE,BAUME LEVRES VANILLE 4G,85841284
SOINS DU VISAGE,34488567,6,1.25,VIS_SOIN LEVRES,VIS_JEUNE_ET_LEVRE,BAUME LEVRES HYDRA 4G,85841284
SOINS DU VISAGE,34488567,6,1.25,VIS_SOIN LEVRES,VIS_JEUNE_ET_LEVRE,BAUME LEVRES NUTRI 4G,85841284
PARFUMAGE,34689069,7,18.0,PARF_PARF ET EAU DE PARF,PARF_PARFUM,EDP JASMIN SE VAPO 30ML,85841284
HYGIENE,34689069,7,2.45,HYG_SAVONS,HYG_PLAISIRNAT_BAIN_SAVON,GEL DOUCEUR MAINS HAMAM FL300ML,85841284
MAQUILLAGE,35777902,10,4.5,MAQ_YEUX Stylos,MAQ_YEUX_CLASSIQUE,PORTE MINE CUIVRE 06 CN3 0.3G,85841284
MAQUILLAGE,35777902,10,11.45,MAQ_YEUX Mascara Elixir,MAQ_YEUX_MASCA_HG,MASCARA SOIN NOIR01 2014 CN3 9ML,85841284
PARFUMAGE,35777902,10,14.0,PARF_PARF ET EAU DE PARF,PARF_PARFUM,EDP FLOWERPARTY BY NIGHT 30ML,85841284
PARFUMAGE,35777902,10,27.0,PARF_PARF ET EAU DE PARF,PARF_PARFUM,EDP QQUES NOTES D'AMOUR 50ML,85841284
MAQUILLAGE,36183588,12,7.95,MAQ_YEUX Stylos,MAQ_YEUX_CLASSIQUE,PORTE MINE NOIR 01 CN3 0.3G,85841284
SOINS DU VISAGE,33105178,1,9.9,VIS_DEMAQ Jeunes Specifique,VIS_JEUNE_ET_LEVRE,NETTOYANT DESINCRUSTANT 125ML,90822328
SOINS DU VISAGE,33105178,1,8.9,VIS_LOTIONS Jeunes Specifique,VIS_JEUNE_ET_LEVRE,LOTION PORE MINIMIZER 150ML,90822328
SOINS DU VISAGE,33105178,1,4.95,VIS_MASQUE Jeunes Specifique,VIS_JEUNE_ET_LEVRE,MASQUE PURE SYSTEM T50 50ML,90822328
MAQUILLAGE,33105178,1,4.25,MAQ_LEV RAL Lum4,MAQ_LEV_BASPRIX,"RAL ROSE SORBET 13 LUM4 3,5G",90822328
MAQUILLAGE,33105178,1,4.25,MAQ_LEV RAL Lum4,MAQ_LEV_BASPRIX,"RAL ROSE BONBON 11 LUM4 3,5G",90822328
MAQUILLAGE,33105178,1,4.45,MAQ_YEUX Crayons,MAQ_YEUX_CLASSIQUE,"CRAY FAP JUMB UHT ROSE/TAUP11 LU4 3,25G",90822328
SOINS DU VISAGE,33692412,3,18.0,VIS_CJOUR Jeunes Specifique,VIS_JEUNE_ET_LEVRE,PORE MINIMIZING SERUM SEBOV 30ML,90822328
SOINS DU VISAGE,33692412,3,1.95,VIS_SOIN LEVRES,VIS_JEUNE_ET_LEVRE,BAUME LEVRES NOIX DE COCO 4G,90822328
SOINS DU CORPS,33692412,3,6.95,CORPS_HYDRA NOURRISANT,CORPS_HYDRA_NOURRI_ET_SOINS,HUILE SECHE SUBLIMANTE 100 ML SVC,90822328
SOINS DU VISAGE,33692412,3,15.9,VIS_CJOUR AAAR,VIS_AAAR_HORS_DEMAQLOTION,RIDES+FERMETE JOUR P50ml SV40,90822328
HYGIENE,34406592,6,1.95,HYG_DOUCHE JARDINMONDE,HYG_JDM,CD JDM4 AMANDE  FL 200ML,90822328
HYGIENE,34406592,6,3.95,HYG_DOUCHE PLAISIRNATURE,HYG_PLAISIRNAT_BAIN_SAVON,GD GOMMANT VANILLE T200 ML,90822328
HYGIENE,34406592,6,1.95,HYG_DOUCHE MONOI,HYG_MONOI_ET_EDIT_SPEC,MDT SD DES LAGONS 150 ML,90822328
SOINS DU VISAGE,34406592,6,4.7,VIS_DEMAQ Jeunes Specifique,VIS_JEUNE_ET_LEVRE,HYDRA LAIT DEMAQ FL200ML,90822328
HYGIENE,33187009,1,1.5,HYG_DOUCHE JARDINMONDE,HYG_JDM,CD JDM4 MACADAMIA FL 200ML,93806295
HYGIENE,33187009,1,1.5,HYG_DOUCHE JARDINMONDE,HYG_JDM,GD JDM4 LAVANDIN DE PROVENCE 200ML,93806295
HYGIENE,33187009,1,1.5,HYG_DOUCHE JARDINMONDE,HYG_JDM,GD JDM4 GRENADE FL200ML,93806295
HYGIENE,33187009,1,1.5,HYG_DOUCHE JARDINMONDE,HYG_JDM,GD FL200ML JDM PAMPLEMOUSSE,93806295
HYGIENE,32985091,1,6.2,HYG_DOUCHE PLAISIRNATURE,HYG_PLAISIRNAT_BAIN_SAVON,GD VANILLE COLLECTOR 750ML 2013,100023116
HYGIENE,32985091,1,3.4,HYG_DOUCHE PLAISIRNATURE,HYG_PLAISIRNAT_BAIN_SAVON,GD VANILLE ED OR 400ML 2013,100023116
MAQUILLAGE,32962665,1,9.75,MAQ_TEINT Poudres,MAQ_TEINT,POUDRE MATITE MAT CN3 8G,100064590
MAQUILLAGE,32962665,1,9.95,MAQ_TEINT Font teint,MAQ_TEINT,FDT PUR LIGH BEIGE 200 TT CLAIR CN3 30ML,100064590
HYGIENE,34219800,5,1.95,HYG_DOUCHE MONOI,HYG_MONOI_ET_EDIT_SPEC,MDT SD DES LAGONS 150 ML,100064590
SOINS DU CORPS,34219800,5,5.95,CORPS_LAIT HUILE MONOI,CORPS_MONOI,MDT HUILE SECHE PREC VPM 100ML,100064590
MAQUILLAGE,34219800,5,9.95,MAQ_TEINT Font teint,MAQ_TEINT,FDT PUR LIGH ROSE 200 TT CLAIR CN3 30ML,100064590
SOLAIRES,34819426,7,3.95,SOL_APRES SOLEIL,SOLAIRE,LAIT 3EN1 PROTECTYL AP SOL FL150,100064590
